Latitude,Longitude,Category
42.536669,-85.85,SuperFundSite
42.4544,-83.7693,SuperFundSite
41.880281,-85.193339,SuperFundSite
45.317781,-85.266669,SuperFundSite
43.815,-84.7625,SuperFundSite
42.103075,-83.200292,SuperFundSite
42.952219,-85.700281,SuperFundSite
43.013397,-85.590506,SuperFundSite
42.622781,-83.963611,SuperFundSite
42.976669,-85.046111,SuperFundSite
42.9875,-85.03,SuperFundSite
42.253511,-84.40701,SuperFundSite
42.293889,-85.567219,SuperFundSite
42.303333,-85.576083,SuperFundSite
42.8738,-85.5906,SuperFundSite
42.739439,-84.587781,SuperFundSite
42.682081,-82.907389,SuperFundSite
42.94695,-83.274439,SuperFundSite
43.2056,-86.2237,SuperFundSite
43.209364,-86.11746,SuperFundSite
44.45,-83.366666,SuperFundSite
42.283331,-85.718889,SuperFundSite
43.198331,-83.545831,SuperFundSite
43.9185,-86.4292,SuperFundSite
43.8532,-85.853,SuperFundSite
46.488889,-84.393061,SuperFundSite
42.654164,-83.073574,SuperFundSite
43.410561,-84.618611,SuperFundSite
42.664719,-83.077769,SuperFundSite
43.3891,-86.334,SuperFundSite
42.915831,-85.727781,SuperFundSite
42.91,-85.674161,SuperFundSite
42.29942537,-85.31771753,FedSites
42.315264,-85.249865,FedSites
42.49733672,-83.04133841,FedSites
42.613489,-82.836852,FedSites
42.76814806,-84.57130826,FedSites
42.772467,-84.734148,FedSites
43.1030057,-85.6288832,FedSites
44.45243021,-83.38047451,FedSites
44.630811,-84.777406,FedSites
44.68164244,-84.7276787,FedSites
44.68625,-84.664931,FedSites
45.084792,-83.567242,FedSites
46.263333,-84.465278,FedSites
46.34231754,-87.38786014,FedSites
47.371111,-88.170556,FedSites
41.974179,-84.344112,Waste Management
41.890683,-83.992445,Waste Management
41.886128,-83.977991,Waste Management
41.917222,-84.015278,Waste Management
43.5492,-83.5342,Waste Management
42.248216,-84.767286,Waste Management
42.36761,-84.8083,Waste Management
42.61532,-82.54196,Waste Management
42.476807,-85.97948,Waste Management
42.53497,-85.85455,Waste Management
42.44936,-85.84159,Waste Management
42.287733,-83.201979,Waste Management
42.97479,-85.91542,Waste Management
43.387199,-84.648587,Waste Management
42.91816,-83.04251,Waste Management
45.061134,-83.538916,Waste Management
45.06065,-83.42873,Waste Management
45.0722,-83.4048,Waste Management
42.842927,-85.380887,Waste Management
42.295972,-83.696736,Waste Management
42.29389,-83.88699,Waste Management
42.23007,-83.70984,Waste Management
42.33222,-83.8195,Waste Management
42.26937,-83.66993,Waste Management
42.24454,-83.79851,Waste Management
42.227082,-83.741824,Waste Management
42.226436,-83.712323,Waste Management
42.83643,-82.88433,Waste Management
43.1811,-84.4667,Waste Management
45.015608,-84.15131,Waste Management
47.102828,-88.642254,Waste Management
44.03746,-83.69617,Waste Management
42.708547,-83.247952,Waste Management
42.687393,-83.291167,Waste Management
43.05976,-82.68937,Waste Management
43.71744,-83.05832,Waste Management
43.808402,-83.036238,Waste Management
43.807534,-82.994517,Waste Management
42.29669,-86.12632,Waste Management
46.7714,-88.4925,Waste Management
45.70909,-87.304822,Waste Management
41.94283,-86.487065,Waste Management
43.7406,-85.1275,Waste Management
42.3484,-85.2688,Waste Management
42.29979,-85.17899,Waste Management
43.60883,-83.86841,Waste Management
43.62583,-83.87408,Waste Management
43.670188,-83.930623,Waste Management
43.57275,-83.91148,Waste Management
43.842091,-83.369832,Waste Management
43.850775,-84.297891,Waste Management
43.0885,-85.2358,Waste Management
43.101788,-85.174631,Waste Management
44.97082,-85.20865,Waste Management
42.21917,-83.522691,Waste Management
42.184362,-83.542477,Waste Management
42.219851,-83.524757,Waste Management
42.4422,-85.0333,Waste Management
46.5925,-89.5563,Waste Management
41.9511,-86.3333,Waste Management
42.909927,-82.878406,Waste Management
46.511865,-90.045274,Waste Management
42.523079,-83.243384,Waste Management
43.6939,-85.46912,Waste Management
43.280112,-83.872304,Waste Management
43.250156,-83.804744,Waste Management
43.27955,-83.83016,Waste Management
43.2708,-83.8644,Waste Management
42.53541,-83.24559,Waste Management
42.5398,-83.20888,Waste Management
41.83869,-83.85771,Waste Management
42.53404,-83.25067,Waste Management
42.382866,-85.963037,Waste Management
45.2194,-85.0694,Waste Management
43.434563,-84.479341,Waste Management
43.357947,-83.8987,Waste Management
43.31934,-83.821604,Waste Management
42.505843,-83.801497,Waste Management
42.51898,-83.7199,Waste Management
42.544296,-83.75027,Waste Management
46.373752,-84.572106,Waste Management
46.40417,-84.59745,Waste Management
41.9944,-83.83,Waste Management
41.877147,-85.199608,Waste Management
42.051944,-84.106389,Waste Management
43.197448,-83.00976,Waste Management
43.216461,-82.971527,Waste Management
46.543445,-89.185524,Waste Management
41.83349,-86.35221,Waste Management
41.813371,-86.332814,Waste Management
41.87817,-86.35789,Waste Management
41.809885,-86.32234,Waste Management
43.083048,-82.484699,Waste Management
43.055125,-83.671815,Waste Management
42.820132,-83.875689,Waste Management
42.83327,-83.9499,Waste Management
42.78112,-85.68993,Waste Management
42.775556,-85.678889,Waste Management
42.77767,-85.67816,Waste Management
44.263479,-85.396463,Waste Management
44.28137,-85.38703,Waste Management
44.230342,-85.506678,Waste Management
42.73374,-85.58134,Waste Management
42.805418,-85.507095,Waste Management
47.22222,-88.44722,Waste Management
41.70917,-84.57285,Waste Management
41.7576,-84.755,Waste Management
41.7172,-84.641,Waste Management
42.26519,-83.43059,Waste Management
42.27114,-83.483,Waste Management
42.27303,-83.42686,Waste Management
42.340958,-83.455545,Waste Management
42.269854,-83.456076,Waste Management
43.00889,-82.92346,Waste Management
42.063601,-83.381176,Waste Management
43.483735,-83.391457,Waste Management
43.169905,-84.861275,Waste Management
43.436988,-82.731724,Waste Management
43.4236,-82.6778,Waste Management
43.49648,-82.570697,Waste Management
42.740368,-82.722626,Waste Management
42.78804,-82.66055,Waste Management
42.744567,-82.731,Waste Management
43.939372,-83.245365,Waste Management
43.237077,-85.782752,Waste Management
46.0567,-88.6292,Waste Management
43.58946,-83.184128,Waste Management
46.011317,-84.373175,Waste Management
41.93211,-85.50742,Waste Management
46.1292,-88.075,Waste Management
45.31438,-85.28373,Waste Management
42.54933,-84.82693,Waste Management
47.0117,-88.5097,Waste Management
45.651393,-84.472023,Waste Management
42.35623,-84.02503,Waste Management
42.325162,-84.017426,Waste Management
43.173108,-84.168783,Waste Management
43.192753,-84.110227,Waste Management
42.772523,-82.512273,Waste Management
43.825312,-84.748064,Waste Management
42.14771,-84.36452,Waste Management
41.875,-84.25,Waste Management
43.31404,-83.17807,Waste Management
42.06669,-83.85795,Waste Management
42.06469,-83.97177,Waste Management
41.939444,-85.016944,Waste Management
41.805556,-85.012778,Waste Management
41.92723,-85.018282,Waste Management
43.75876,-84.57677,Waste Management
42.197329,-86.310632,Waste Management
41.98177,-85.33548,Waste Management
43.151689,-83.401872,Waste Management
42.83854,-82.66554,Waste Management
42.871586,-82.618034,Waste Management
42.18062,-84.655093,Waste Management
43.13566,-85.87987,Waste Management
41.84337,-85.66619,Waste Management
43.045332,-85.927756,Waste Management
43.050628,-85.956758,Waste Management
47.466801,-87.874188,Waste Management
43.008333,-84.066667,Waste Management
43.263264,-82.619645,Waste Management
43.25307,-84.89523,Waste Management
43.86085,-86.19808,Waste Management
46.3358,-84.444,Waste Management
43.125953,-83.494087,Waste Management
42.827666,-84.489866,Waste Management
42.334256,-83.156896,Waste Management
42.31314,-83.2059,Waste Management
42.3025,-83.154167,Waste Management
42.30987,-83.15738,Waste Management
42.34718,-83.276,Waste Management
42.100485,-85.979833,Waste Management
43.565,-82.7556,Waste Management
41.886896,-83.767326,Waste Management
42.50715,-85.50375,Waste Management
45.975892,-83.924453,Waste Management
42.39353,-83.03255,Waste Management
42.36591,-83.04774,Waste Management
42.36227,-82.96388,Waste Management
42.2834,-83.12575,Waste Management
42.39678,-83.17267,Waste Management
42.40094,-83.01685,Waste Management
42.36327,-82.96455,Waste Management
42.36118,-83.14968,Waste Management
42.39757,-83.03428,Waste Management
42.29025,-83.15415,Waste Management
42.369566,-82.96251,Waste Management
