Facility Name,Sample Point Type,PWS ID,PWS Name,Facility Water Type,Latitude,Longitude,EPA Region,State Territory or Tribe,Population Served,6:2 FTS,8:2 FTS,ADONA,HFPO-DA,NEtFOSAA,PFBA,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFMPA,PFNA,PFOA,PFOS,PFPeA,PFPeS,PFUnA,Grand Total
"""Mill Road Wells (1R, 2R, 3)""",EP,MA3056000,CHELMSFORD WATER DISTRICT,GW-Groundwater,42.596566,-71.362952,01, MA,"28,750",,,,,,,,,,,3.1,,,,7.7,5.5,,,,16.3
#2 HYDRANT,EP,PA2350833,EAGLE LAKE COMMUNITY ASSOC,GW-Groundwater,41.436636,-75.608768,03, PA,"3,500",,,,,,9.4,,,,4.1,4.4,,,,8.1,,3.4,,,29.4
1101 H.O. Mills,EP,TX1230009,CITY OF PORT ARTHUR,SW-Surface Water,29.909663,-94.00752,06, TX,"53,818",,,,,,5.5,,,,,,,,,,,,,,5.5
1110 North Main,EP,TX0570007,CITY OF DUNCANVILLE,SW-Surface Water,32.646193,-96.912975,06, TX,"39,500",,,,,,7.7,4.2,,,,6,,,,,,6.5,,,24.4
"1114 N. Chenango St, Angleton",EP,TX0200002,CITY OF ANGLETON,"MX-Any combination of GW, SW, and GU",29.169001,-95.429036,06, TX,"27,333",,,,,,14.8,,,,,3.6,,,,,,55.2,,,73.6
1201 Clear Valley Dr WP1,EP,TX1012007,HARRIS COUNTY MUD 200 CRANBROOK,"MX-Any combination of GW, SW, and GU",29.975861,-95.439274,06, TX,"14,757",,,,,,5.1,,,,,,,,,,,,,,5.1
1318 Pike Fort Bliss,EP,TX0710020,FORT BLISS MAIN POST AREA,GW-Groundwater,31.922477,-106.239799,06, TX,"28,000",,,,,,,,,,,3.1,3.7,,,,,,,,6.8
13325 Kuykendahl WP3,EP,TX1012007,HARRIS COUNTY MUD 200 CRANBROOK,"MX-Any combination of GW, SW, and GU",29.975861,-95.439274,06, TX,"14,757",,,,,,6.2,,,,,,,,,,,,,,6.2
1502 Kendall Sample Station,EP,WA5305800,BENTON CITY WATER,GW-Groundwater,46.264339,-119.482539,10, WA,"5,305",,,,,,,3.7,,,,4.3,12.4,,,,8.1,4.9,4.2,,37.6
15900 Bear Bayou,EP,TX1010113,HARRIS COUNTY WCID 84,"MX-Any combination of GW, SW, and GU",29.796541,-95.123149,06, TX,"6,552",,,,,,,,,,,3.3,,,,,,,,,3.3
1700 Burgess Ave Cambridge WTP,EP,OH3000111,"CAMBRIDGE, CITY OF",SW-Surface Water,40.030525,-81.582802,05, OH,"10,635",,,,,,,,,,,,,,,5.4,,,,,5.4
1735 Kirby Road,EP,TX1010056,CLEAR LAKE CITY WATER AUTHORITY,SW-Surface Water,29.589013,-95.143375,06, TX,"85,392",,,,,,,,,,,3.6,,,,,,3.9,,,7.5
1750 Rushworth WP2,EP,TX1012007,HARRIS COUNTY MUD 200 CRANBROOK,"MX-Any combination of GW, SW, and GU",29.975861,-95.439274,06, TX,"14,757",,,,,,5.8,,,,,,,,,,,,,,5.8
1957 Lizzie Mill Rd,EP,NC4051009,"SELMA, TOWN OF (COUNTY LINE)",SW-Surface Water,35.58571,-78.141768,04, NC,642,,,,,,,4.6,,,,6.2,,,,5.7,5.5,5.1,,,27.1
1A WATER TREATMENT PLANT,EP,FL4060167,BCWWS 1A,GW-Groundwater,26.165081,-80.196861,04, FL,"75,305",,,,,,10.1,5.9,,,4.1,8.6,3,,,6.4,18.9,11.8,,,68.8
200,EP,WI1110039,PORTAGE WATERWORKS,GW-Groundwater,43.554734,-89.469228,05, WI,"10,437",,,,,,,,,,,,8.1,,,,,,,,8.1
220 Oil Creek Drive,EP,PA6200051,TITUSVILLE MUNICIPAL WATER,GW-Groundwater,41.627934,-79.671468,03, PA,"6,146",,,,,,,,,,,,,,,,4.3,,,,4.3
22925 1/2 Canal,EP,TX0790444,FORT BEND COUNTY MUD 133,"MX-Any combination of GW, SW, and GU",29.689346,-95.796226,06, TX,"7,266",,,,,,5.6,4.2,,,,8.9,3.9,,,,,7.8,,,30.4
2620 Klien way (Green Valley inter connect),EP,TX0460001,NEW BRAUNFELS UTILITIES,"MX-Any combination of GW, SW, and GU",29.699226,-98.116416,06, TX,"70,759",,,,,,,,,,,,,,,,,3.2,,,3.2
2717 Cummings,EP,TX2200003,CITY OF BEDFORD,SW-Surface Water,32.846735,-97.135178,06, TX,"49,900",,,,,,8.6,4.6,,,,3.8,,,,,,4.2,,,21.2
