PWS ID,Facility Water Type,Latitude,Longitude,Contaminant,chain length,long-short,Total,key,bdod,cec,cfvo,clay,nitrogen,ocd,phh2o,sand,silt,soc,wv0010,wv0033,wv1500
010106001,GU-Groundwater Under Influence of Surface Water,41.464584,-71.972828,PFBA,4,short,6.5,41.464584-71.972828,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
010106001,GU-Groundwater Under Influence of Surface Water,41.464584,-71.972828,PFBS,4,short,3.4,41.464584-71.972828,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
010106001,GU-Groundwater Under Influence of Surface Water,41.464584,-71.972828,PFHpA,7,short,3.3,41.464584-71.972828,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
010106001,GU-Groundwater Under Influence of Surface Water,41.464584,-71.972828,PFHxA,6,short,9.7,41.464584-71.972828,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
010106001,GU-Groundwater Under Influence of Surface Water,41.464584,-71.972828,PFOA,8,Long,6.6,41.464584-71.972828,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
010106001,GU-Groundwater Under Influence of Surface Water,41.464584,-71.972828,PFPeA,5,short,19.1,41.464584-71.972828,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
061020808,GW-Groundwater,35.391465,-96.921469,PFHxS,6,short,3.3,35.391465-96.921469,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
061020808,GW-Groundwater,35.391465,-96.921469,PFOS,8,Long,4.1,35.391465-96.921469,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
085690003,SW-Surface Water,42.700883404907,-108.67592783719,PFOA,8,Long,9.3,42.700883404907-108.67592783719,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
090600147,GW-Groundwater,33.251828,-117.002794,PFBS,4,short,3.4,33.251828-117.002794,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
