compund,CASRN,Carbon chain length,Molecular weight,Acid dissociation,Log octanol-air,Log octanol-water,Soil adsorption  coefficientkd,Organic carbon,Log albumin-water
PFBA,375-22-4,4,214.04,0.08,2.43,2.82,58.43,2.17,2.52
PFPeA,2706-90-3,5,264.0459,0.569,4.99,3.43,269.9,2.43,
PFHxA,307-24-4,6,314.054,?0.16,5.24,4.06,"1,247",2.06,3.43
PFHpA,375-85-9,7,364.06,?2.29,5.48,4.67,"5,761",2.04,4.02
PFOA,335-67-1,8,414.07,?0.5,5.73,4.81,26600,2.06,4.2
PFNA,375-95-1,9,464.08,?0.21,5.98,5.92,123000,2.39,4.32
PFDA,335-76-2,10,514.086,?0.17,,,,2.79,4.73
PFUnDA,2058-94-8,11,564.09,?0.17,,,,3.3,4.6
PFDoDA,307-55-1,12,614.1,?0.17,,,,5.6,
PFTrDA,726-94-8,13,664.11,,,,,5.2,
PFTeDA,376-06-7,14,714.11,?0.21,,,,5.2,
FBSA,30334-69-1,4,299.111,5.98,4.73,3.72,"2,789",3.45,
FhxSA,41997-13-1,6,399.13,,,,,,
PFOSA,754-91-6,8,499.14,6.24,5.7,7.58,1270000,6,
HFPO-DA,13252-13-6,6,330.053,?0.77–2.8,5.74,3.6,118.8,2.08,3.06
N-MeFOSE,24448-09-7,11,557.23,,,,,,
N-MeFOSA,31506-32-8,9,513.169,,,,,,
N-MeFOSAA,2355-31-9,11,571.21,3.92,,,,4.6,
N-EtFOSA,4151-50-2,10,527.2,9.5,,>6.8,,3.9,
N-EtFOSAA,2991-50-6,12,585.24,3.92,,,,4.8,
N-EtFOSE,1691-99-2,12,571.25,,,,,3.95,
PFBS,375-73-5,4,300.1,0.14,5.64,3.9,221.6,2.06,3.2
PFPeS,2706-91-4,5,350.11,,5.89,3.38,"1,024",3.01,
PFHxS,355-46-4,6,400.12,0.14,6.13,5.17,"4,726",2.28,4.81
PFHpS,375-92-8,7,450.12,,6.38,5.31,21900,4.34,
PFOS,1763-23-1,8,500.13,0.14,,6.3,,3.14,4.67
PFNS,68259-12-1,9,550.14,,,,,,
PFDS,335-77-3,10,600.15,0.14,,,,4.03,
4:2 FTS,757124-72-4,6,328.15,,,,,,
6:2 FTS,27619-97-2,8,428.17,1.31,5.39,3.85,15300,4.9,
8:2 FTS,39108-34-4,10,529.18,1.32,,,,3.77,
NaDONA,919005-14-4,7,378.07,,,,,1.98,
11Cl-PF3OudS,763051-92-9,10,632.6,,,,,4.47,
9Cl-PF3ONS,756426-58-1,8,532.58,<1.0,,,,3.73,
3:3 FTCA,356-02-5,6,242.09,4.18,,,,,
5:3 FTCA,914637-49-3,8,342.11,,,,,,
7:3 FTCA,812-70-4,10,442.12,4.22,,,,,
6:2 FTCA,120885-29-2,7,363.05,2.82,,,,0.75,
8:2 FTCA,27854-31-5,10,478.1,,,,,,
10:2 FTCA,53826-13-4,12,578.117,,,,,,
6:2 FtUCA,70887-88-6,8,358.081,,,,,,
FOUEA,70887-84-2,10,458.1,,,,,,
PFDoS,79780-39-5,12,700.16,,,,,,
NFDHA,151772-58-6,5,296.04,,,,,,
PFEESA,113507-82-7,4,316.1,,,,,,
PFMPA,377-73-1,4,230.04,,,,,,
PFMBA,863090-89-5,5,280.045,,,,,,
PFTA,376-06-7,14,714.11,,,,,,
PfecHS,646-83-3,8,462.13,,,,,,4.55
