Site,Aluminum,Arsenic,Barium,Beryllium,Boron,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Selenium,Strontium,Thallium,Titanium,Vanadium,Zinc,Soil  Type, Cobbles,Coarse Gravel,Fine Gravel,Coarse Sand,Medium Sand,Fine Sand,Silt,Clay,Moisture,Total Organic Carbon,PFAS
01-FOR-01,1200,0.58,7.8,,,,4.3,0.67,0.79,3100,2.7,,540,25,,,1.9,0.23,,,340,11,4,"SAND with Silt and
Gravel",0,0,6,2.4,17.4,66.9,6.1,1.3,11,4300,0.297
02-FOR-01,1000,1.1,5.6,,,,2.2,,1.1,2700,4,,140,25,,,0.58,0.28,,,100,6.9,3.1,SAND with Silt,0,0,0.9,1.2,30,58.5,6.5,2.9,41.4,9500,0.356
03-FOR-01,3700,1.3,18,,,,3.3,1.2,2.1,3900,5.8,1.9,390,170,,0.29,2.7,0.36,1.3,,100,6.3,14,"SAND with Silt and
Clay",0,0,0,0.4,12.5,81.7,2.7,2.8,8.5,10000,0.842
04-FOR-01,1900,0.79,18,,,,3,0.84,1.5,3500,4,,360,120,,,1.9,0.33,,0.4,110,7.2,11,"SILTY SAND with
Gravel and Clay",0,0,4,3.4,17.4,56.7,12.1,6.4,23.3,16000,0.463
05-FOR-01,1100,0.54,26,,,0.074,2,0.48,1.1,2200,2.7,,140,320,,,0.97,,,,68,5.1,6.5,"SILTY SAND with Clay
and Gravel",0,0,0.9,2.7,23,58,11.7,3.6,17.3,5000,0.745
06-FOR-01,2100,0.64,16,,,0.082,2.9,0.66,2.5,2200,19,1.9,360,17,,,2.2,,2.4,,57,4.6,6.8,"SAND with Silt, Clay,
and Gravel",0,0,0.6,0.5,8.9,79.3,9.5,1.3,13.5,21000,0.798
07-FOR-01,7700,3.2,26,,,,13,2.5,5.5,14000,7.5,6.3,1700,190,0.035,,8,0.31,3.2,,300,25,28,"SILTY SAND with Clay
and Gravel",0,0,0.8,2.6,10.5,42,35.5,8.5,24.7,25000,1.028
08-FOR-01,6000,2.1,47,0.28,2.2,0.17,10,4.8,4.8,8600,12,6.4,1500,520,0.029,,7.6,0.23,5.3,0.12,130,14,28,"SILTY SAND with Clay
and Gravel",0,3.6,1,2.2,11.2,46.2,25.1,10.7,17.5,15000,1.389
09-FOR-01,1600,1.2,10,,,0.15,3,0.61,1.5,2400,6.9,,350,24,,,1.7,0.24,5.4,,77,3.8,9.4,"SAND with Silt, Clay,
and Gravel",0,0,0.3,0.4,14.9,78.6,1.6,4.2,20.6,38000,0.836
10-FOR-01,980,0.79,15,,,,1.4,0.27,1.2,1900,7.4,,170,120,,,0.79,,,,49,3.4,9,"SAND with Silt and
Clay",0,0,0.4,0.7,24.4,66,3.9,4.7,12.7,18000,0.552
