PWS ID,Facility Water Type,Latitude,Longitude,Contaminant,chain length,long-short,Total
90605013,GW-Groundwater,33.497131,-117.152924,PFBS,4,short,3
90605013,GW-Groundwater,33.497131,-117.152924,PFHxA,6,short,6.2
90605013,GW-Groundwater,33.497131,-117.152924,PFPeA,5,short,8.9
AK2310730,GW-Groundwater,64.836711,-147.735282,PFHxA,6,short,3.7
AK2310730,GW-Groundwater,64.836711,-147.735282,PFHxS,6,short,8.8
AK2310730,GW-Groundwater,64.836711,-147.735282,PFOA,8,Long,5.4
AK2310730,GW-Groundwater,64.836711,-147.735282,PFPeA,5,short,3.3
AL0000179,SW-Surface Water,32.86639,-85.203017,PFBS,4,short,3.8
AL0000179,SW-Surface Water,32.86639,-85.203017,PFHxA,6,short,5
AL0000179,SW-Surface Water,32.86639,-85.203017,PFPeA,5,short,5
AL0000577,SW-Surface Water,34.011878,-85.999344,PFBA,4,short,19.1
AL0000577,SW-Surface Water,34.011878,-85.999344,PFBS,4,short,155.4
AL0000577,SW-Surface Water,34.011878,-85.999344,PFHpA,7,short,11.5
AL0000577,SW-Surface Water,34.011878,-85.999344,PFHxA,6,short,34.9
AL0000577,SW-Surface Water,34.011878,-85.999344,PFHxS,6,short,4.2
AL0000577,SW-Surface Water,34.011878,-85.999344,PFOA,8,Long,32
AL0000577,SW-Surface Water,34.011878,-85.999344,PFOS,8,Long,32.4
AL0000577,SW-Surface Water,34.011878,-85.999344,PFPeA,5,short,56.5
AL0000729,SW-Surface Water,34.655074,-86.033893,PFBA,4,short,5.2
AL0000738,SW-Surface Water,33.517775,-86.792872,6:2 FTS,8,Long,5.8
AL0000738,SW-Surface Water,33.517775,-86.792872,PFBS,4,short,5.5
AL0000738,SW-Surface Water,33.517775,-86.792872,PFHxA,6,short,8.5
AL0000738,SW-Surface Water,33.517775,-86.792872,PFPeA,5,short,5.6
AL0000783,SW-Surface Water,34.835983,-87.668632,PFBA,4,short,7.2
AL0000783,SW-Surface Water,34.835983,-87.668632,PFBS,4,short,4.4
AL0000783,SW-Surface Water,34.835983,-87.668632,PFOA,8,Long,9.7
AL0000783,SW-Surface Water,34.835983,-87.668632,PFOS,8,Long,17
AL0000816,SW-Surface Water,32.644445,-85.37996,PFHxA,6,short,5
AL0000816,SW-Surface Water,32.644445,-85.37996,PFOA,8,Long,11
AL0000816,SW-Surface Water,32.644445,-85.37996,PFOS,8,Long,5.4
AL0000816,SW-Surface Water,32.644445,-85.37996,PFPeA,5,short,3.3
AL0000943,SW-Surface Water,34.316777,-86.308636,PFBA,4,short,16.9
AL0000943,SW-Surface Water,34.316777,-86.308636,PFBS,4,short,3.3
AL0000943,SW-Surface Water,34.316777,-86.308636,PFHxA,6,short,3.6
AL0001084,SW-Surface Water,34.566681,-86.999561,PFBA,4,short,6.9
AL0001148,GU-Groundwater Under Influence of Surface Water,33.222519,-86.830425,PFBS,4,short,5.2
AL0001148,GU-Groundwater Under Influence of Surface Water,33.222519,-86.830425,PFOA,8,Long,4
AL0001148,GU-Groundwater Under Influence of Surface Water,33.222519,-86.830425,PFOS,8,Long,5.9
AL0001148,SW-Surface Water,33.222519,-86.830425,PFBA,4,short,5.6
AL0001148,SW-Surface Water,33.222519,-86.830425,PFBS,4,short,4.2
AL0001148,SW-Surface Water,33.222519,-86.830425,PFHxA,6,short,5.6
AL0001148,SW-Surface Water,33.222519,-86.830425,PFOA,8,Long,4.8
AL0001148,SW-Surface Water,33.222519,-86.830425,PFOS,8,Long,6.9
AL0001148,SW-Surface Water,33.222519,-86.830425,PFPeA,5,short,7.7
AL0001796,SW-Surface Water,34.694703,-85.669736,PFBA,4,short,8.1
AZ0407046,GW-Groundwater,33.491357,-112.376897,PFHxA,6,short,3
AZ0407046,GW-Groundwater,33.491357,-112.376897,PFHxS,6,short,8.3
AZ0407088,"MX-Any combination of GW, SW, and GU",33.446048,-112.313655,PFBS,4,short,7.7
AZ0407092,"MX-Any combination of GW, SW, and GU",33.309758,-111.746235,PFBS,4,short,15.3
AZ0407093,"MX-Any combination of GW, SW, and GU",33.530854,-112.229219,PFBS,4,short,17
AZ0407100,GW-Groundwater,33.387705,-111.932477,PFBS,4,short,12.7
AZ0407100,GW-Groundwater,33.387705,-111.932477,PFHpA,7,short,4.8
AZ0407100,GW-Groundwater,33.387705,-111.932477,PFHxA,6,short,9
AZ0407100,GW-Groundwater,33.387705,-111.932477,PFHxS,6,short,11.4
AZ0407100,GW-Groundwater,33.387705,-111.932477,PFOA,8,Long,9.5
AZ0407100,GW-Groundwater,33.387705,-111.932477,PFOS,8,Long,25.1
AZ0407100,GW-Groundwater,33.387705,-111.932477,PFPeA,5,short,7.5
AZ0407406,GW-Groundwater,33.419233,-112.326866,PFOS,8,Long,6.5
AZ0410051,GW-Groundwater,32.278386,-110.999948,PFBS,4,short,4
AZ0410051,GW-Groundwater,32.278386,-110.999948,PFHxA,6,short,3
AZ0410051,GW-Groundwater,32.278386,-110.999948,PFHxS,6,short,13
AZ0410051,GW-Groundwater,32.278386,-110.999948,PFOA,8,Long,5
AZ0410051,GW-Groundwater,32.278386,-110.999948,PFOS,8,Long,4
AZ0410051,GW-Groundwater,32.278386,-110.999948,PFPeA,5,short,3
AZ0410329,GW-Groundwater,32.358167,-111.0796,PFHxS,6,short,13
AZ0410329,GW-Groundwater,32.358167,-111.0796,PFOS,8,Long,23
AZ0411009,GW-Groundwater,32.883834,-111.75678,PFBA,4,short,39.1
AZ0411009,GW-Groundwater,32.883834,-111.75678,PFBS,4,short,186.2
AZ0411009,GW-Groundwater,32.883834,-111.75678,PFHpA,7,short,16
AZ0411009,GW-Groundwater,32.883834,-111.75678,PFHxA,6,short,33.3
AZ0411009,GW-Groundwater,32.883834,-111.75678,PFHxS,6,short,11.5
AZ0411009,GW-Groundwater,32.883834,-111.75678,PFPeA,5,short,38.7
AZ0411017,GW-Groundwater,33.027838,-111.388792,PFBS,4,short,5.1
AZ0413012,GW-Groundwater,34.78368,-111.760747,PFBS,4,short,4.1
AZ0413012,GW-Groundwater,34.78368,-111.760747,PFHxA,6,short,4.6
AZ0413012,GW-Groundwater,34.78368,-111.760747,PFPeA,5,short,4.6
AZ0420423,GW-Groundwater,32.246222,-110.948769,PFBA,4,short,7.2
AZ0420423,GW-Groundwater,32.246222,-110.948769,PFHxA,6,short,9.6
AZ0420423,GW-Groundwater,32.246222,-110.948769,PFPeA,5,short,12.2
CA0410004,GW-Groundwater,39.362304,-121.69727,PFHpA,7,short,3.5
CA0410004,GW-Groundwater,39.362304,-121.69727,PFHxA,6,short,5.3
CA0410004,GW-Groundwater,39.362304,-121.69727,PFHxS,6,short,12.8
CA0410004,GW-Groundwater,39.362304,-121.69727,PFNA,9,Long,9.9
